battery_power,clock_speed,fc,int_memory,m_dep,mobile_wt,n_cores,pc,ram,talk_time,num_pix,aspect_ratio
0.10227272727272724,0.32,0.0,0.8064516129032258,0.6666666666666666,0.9666666666666667,0.42857142857142855,0.2,0.20844468198824156,0.6111111111111112,0.8370203903954923,0.20415224913494806
0.7372994652406415,0.27999999999999997,0.05263157894736842,0.06451612903225806,0.4444444444444445,0.9249999999999999,0.7142857142857142,0.75,0.884019241047568,0.0,0.014884208971732706,0.26050420168067223
0.4799465240641711,0.2,0.0,0.24193548387096772,0.6666666666666666,0.9666666666666667,0.5714285714285714,0.2,0.11998931052912881,0.2222222222222222,0.12140100766879641,0.2459893048128342
0.18850267379679136,0.48000000000000004,0.47368421052631576,0.4032258064516129,0.2222222222222222,0.5833333333333334,0.7142857142857142,0.55,0.2482629609834313,0.2222222222222222,0.14594156925541257,0.2392156862745098
0.5661764705882353,0.32,0.0,0.6612903225806451,0.33333333333333337,0.30000000000000004,0.5714285714285714,0.30000000000000004,0.977552111170497,0.3333333333333333,0.0229779881634805,0.2764705882352941
0.2346256684491978,0.52,0.2631578947368421,0.0967741935483871,0.7777777777777778,0.6666666666666666,0.5714285714285714,0.45,0.015766969535008016,1.0,0.23447870412780672,0.8991596638655461
0.7092245989304811,0.27999999999999997,0.0,0.8064516129032258,0.0,0.20833333333333337,0.8571428571428572,0.45,0.6876002137894174,0.05555555555555555,0.08681215915528087,0.8009049773755657
0.5093582887700534,0.35999999999999993,0.05263157894736842,0.4838709677419355,0.33333333333333337,0.19166666666666665,0.14285714285714285,0.1,0.832709780865847,0.4444444444444445,0.06459635155113555,0.7483660130718954
0.9157754010695185,0.6000000000000001,0.3684210526315789,0.29032258064516125,0.0,0.008333333333333415,0.8571428571428572,0.7000000000000001,0.5045430251202565,0.5555555555555556,0.03480624554297361,0.9728506787330318
0.8074866310160427,0.6400000000000001,0.05263157894736842,0.17741935483870966,1.0,0.6333333333333334,0.14285714285714285,0.1,0.8089257081774451,0.7222222222222221,0.34488721948166556,0.00692041522491349
0.04278074866310155,0.03999999999999998,0.05263157894736842,0.7741935483870968,0.0,0.65,0.14285714285714285,0.4,0.507749866381614,0.2222222222222222,0.09514889630987908,0.4570135746606335
0.17914438502673796,0.27999999999999997,0.10526315789473684,0.24193548387096772,0.0,0.125,1.0,0.2,0.43319080705505075,0.49999999999999994,0.5161573500076683,0.06535947712418301
0.8148395721925132,0.6000000000000001,0.7894736842105263,0.8548387096774194,0.4444444444444445,0.7333333333333333,0.14285714285714285,0.9,0.5056119722073757,0.16666666666666669,0.25963737555827404,0.10084033613445377
0.6704545454545454,0.56,0.3684210526315789,0.3709677419354839,0.2222222222222222,0.6,0.42857142857142855,0.45,0.4094067343666488,0.6111111111111112,0.18556901994217548,0.8868778280542986
0.16844919786096252,0.0,0.5789473684210527,0.7419354838709677,0.0,0.3416666666666667,1.0,1.0,0.8626402993051843,0.7777777777777777,0.20249629624657056,0.9572192513368984
0.0762032085561497,0.0,0.3684210526315789,0.9032258064516129,0.4444444444444445,0.41666666666666663,0.5714285714285714,0.4,0.4409406734366649,0.16666666666666669,0.5127445781129215,0.3403361344537815
0.5013368983957218,0.0,0.5263157894736842,0.4354838709677419,0.6666666666666666,0.44166666666666676,0.7142857142857142,0.8,0.21272047033671831,0.49999999999999994,0.043587846215097065,0.8556149732620322
0.8328877005347592,0.0,0.21052631578947367,0.17741935483870966,0.6666666666666666,0.8750000000000001,0.7142857142857142,0.6000000000000001,0.7613575628006413,0.4444444444444445,0.17691057649457875,0.10084033613445377
0.7359625668449197,0.8800000000000001,0.21052631578947367,0.7096774193548387,0.5555555555555555,0.31666666666666665,0.0,0.25,0.42918225547835376,0.0,0.07144616531778954,0.5698529411764706
0.17914438502673796,0.96,0.0,0.1129032258064516,0.0,0.85,0.5714285714285714,0.05,0.9861036878674505,0.27777777777777773,0.052553279054648246,0.38823529411764707
0.37499999999999994,0.8,0.3157894736842105,0.12903225806451613,0.8888888888888888,0.6666666666666666,0.0,0.65,0.9478888295029395,0.7777777777777777,0.7412061352436732,0.4201680672268907
0.6758021390374331,0.03999999999999998,0.05263157894736842,0.8387096774193549,0.33333333333333337,0.45000000000000007,0.2857142857142857,0.1,0.8311063602351683,0.49999999999999994,0.10099202240686914,0.4201680672268907
0.5735294117647058,0.03999999999999998,0.21052631578947367,0.9193548387096774,0.2222222222222222,0.050000000000000044,0.14285714285714285,0.30000000000000004,0.7712453233564938,0.8333333333333333,0.8274967480812517,0.1176470588235294
0.7105614973262031,0.72,0.21052631578947367,0.3709677419354839,0.4444444444444445,0.9083333333333333,0.7142857142857142,0.8500000000000001,0.33137359700694813,0.27777777777777773,0.6353381711487807,0.6862745098039216
0.20120320855614965,0.76,0.05263157894736842,0.6935483870967742,0.7777777777777778,0.6416666666666667,0.2857142857142857,0.45,0.9238375200427578,0.3333333333333333,0.5442823806678788,0.3602941176470588
0.7272727272727271,0.8400000000000001,0.47368421052631576,0.7096774193548387,0.33333333333333337,0.033333333333333326,0.2857142857142857,0.8,0.56574024585783,1.0,0.14657826886900358,0.8556149732620322
0.7653743315508019,0.8,0.15789473684210525,0.3709677419354839,0.5555555555555555,1.0,0.14285714285714285,0.25,0.11491181186531266,0.49999999999999994,0.08419100162195742,0.7794117647058824
0.2526737967914438,0.8,0.5789473684210527,0.1935483870967742,0.6666666666666666,0.025000000000000022,0.7142857142857142,0.75,0.02485301977552111,0.0,0.11156624490265932,0.6397058823529411
0.24131016042780745,0.12000000000000005,0.15789473684210525,0.33870967741935487,0.33333333333333337,0.7083333333333334,0.14285714285714285,0.75,0.005879208979155531,0.49999999999999994,0.35653267745871653,0.15073529411764708
0.08422459893048123,0.52,0.10526315789473684,0.29032258064516125,0.7777777777777778,0.5166666666666667,0.2857142857142857,0.4,0.17103153393907,0.6666666666666665,0.02421033498248689,0.33564013840830453
0.09425133689839571,0.0,0.0,0.5806451612903226,0.7777777777777778,0.050000000000000044,0.5714285714285714,0.5,0.04783538214858364,0.0,0.4030925631109773,0.1895424836601307
0.6490641711229945,0.9199999999999999,0.05263157894736842,0.5483870967741935,0.4444444444444445,0.41666666666666663,0.7142857142857142,0.5,0.19481560662747194,0.27777777777777773,0.6504044049492164,0.9656862745098038
